date,z_Money_supply,z_top_tier_home_value,z_mid_tier_home_value,z_bottom_tier_home_value,z_single_family_home_value,z_condo_coop_value
2012-01-01,0.2220753105569464,-0.22573493392000038,-0.2328925761101484,-0.2219857445686891,-0.23352197241238593,-0.29422237050402683
2012-02-01,0.2363923856881902,-0.23033909850748052,-0.2366868385981561,-0.2252838527284422,-0.2364402636992837,-0.3014276408542712
2012-03-01,0.24818728178076954,-0.22892763653345957,-0.23531301539567603,-0.22430275888043372,-0.2342484466832694,-0.30144814173292145
2012-04-01,0.2612432673926809,-0.2246691589710744,-0.23195048762566364,-0.2210496582265106,-0.2307002254464317,-0.29849259839417114
2012-05-01,0.27229634612094705,-0.21532160252587806,-0.2235949802277127,-0.21326126634560794,-0.22215953211756007,-0.2910725944816543
2012-06-01,0.2880228742443856,-0.20661275468458476,-0.21540720835651583,-0.20559149889867534,-0.21335225469527347,-0.2864349277664707
2012-07-01,0.3021668586572899,-0.19585905883706672,-0.2047306522315002,-0.19562285970048776,-0.2018734828425545,-0.28094621175552165
2012-08-01,0.3169784786980758,-0.18481220134306417,-0.19400071555935486,-0.1852550841715318,-0.19025011195058406,-0.2741286182771906
2012-09-01,0.3362657301702179,-0.17027639810023984,-0.18009876830004865,-0.17141440389041357,-0.1755753751671722,-0.26236610773569835
2012-10-01,0.35194280380270243,-0.1529542285728863,-0.16387979260592936,-0.1558829765298331,-0.15854747928184532,-0.24756105653708085
2012-11-01,0.3676198774351875,-0.13217532886225855,-0.14441152737357502,-0.13714310712576414,-0.1381390100683453,-0.2299176849725088
2012-12-01,0.4001609324830575,-0.11109402303851039,-0.12433597466153529,-0.11814400844393262,-0.11720520058592747,-0.21065001302256725
2013-01-01,0.4064169255887654,-0.09029887547743203,-0.10471605507143661,-0.09916479679955996,-0.09796417835248529,-0.19041196614984573
2013-02-01,0.40935946780054083,-0.0694879002689331,-0.08477763899511806,-0.0802033788202831,-0.07855550821037788,-0.17150621355761553
2013-03-01,0.42575363155186136,-0.04641189066707389,-0.06294834546274418,-0.05908160056118068,-0.05747514270923069,-0.15111730124457032
2013-04-01,0.4342598039959859,-0.020693224216563846,-0.038372075574117606,-0.035672115203432456,-0.03229838427507805,-0.1290567788261937
2013-05-01,0.44410124769587356,0.006031968555798199,-0.013188741555375435,-0.011119997430239793,-0.006399282971162813,-0.10321936376416732
